pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y
929.260000,341.210000,963.850000,214.110000,862.750000,294.650000,816.530000,292.350000
929.480000,341.550000,965.750000,214.930000,862.770000,292.970000,816.960000,289.570000
929.930000,341.820000,967.730000,215.750000,862.740000,291.140000,817.350000,286.830000
930.160000,342.120000,969.460000,216.560000,862.710000,289.250000,817.940000,284.000000
930.390000,342.360000,971.090000,216.990000,863.355106,287.348701,818.450000,281.180000
930.810000,342.820000,973.140000,217.770000,863.690000,285.150000,819.100000,278.380000
930.980000,343.050000,975.160000,218.340000,863.820000,283.320000,819.830000,275.570000
931.100000,343.330000,976.870000,219.150000,863.960000,281.490000,820.580000,272.780000
931.480000,343.820000,978.850000,220.020000,864.040000,280.210000,821.310000,269.960000
931.890000,344.040000,980.720000,220.840000,864.190000,279.040000,822.170000,267.090000
932.060000,344.250000,982.320000,221.870000,864.450000,277.870000,823.200000,264.260000
932.240000,344.490000,983.980000,222.700000,865.220000,276.670000,824.220000,261.390000
932.620000,344.950000,985.760000,223.690000,866.030000,274.790000,825.260000,258.460000
932.910000,345.240000,987.360000,224.460000,866.830000,272.880000,826.380000,255.640000
933.190000,345.630000,988.920000,225.210000,867.720000,270.930000,827.710000,252.860000
933.270000,346.010000,990.200000,226.050000,868.580000,268.980000,828.910000,249.980000
933.700000,346.260000,992.010000,227.020000,868.730000,266.990000,830.240000,247.150000
934.020000,346.740000,993.720000,227.910000,868.910000,265.050000,831.560000,244.360000
934.180000,347.010000,995.010000,228.960000,869.120000,263.050000,833.030000,241.480000
934.370000,347.280000,996.280000,229.780000,869.750000,261.090000,834.600000,238.540000
934.760000,347.700000,997.910000,230.880000,870.335073,260.539704,836.020000,235.760000
934.940000,347.940000,999.180000,231.740000,870.930000,259.650000,837.590000,233.050000
935.130000,348.200000,1000.770000,232.810000,871.850000,258.080000,839.170000,230.260000
935.350000,348.520000,1002.050000,233.630000,872.720000,256.110000,840.880000,227.410000
935.760000,348.870000,1003.380000,234.200000,873.500000,253.810000,842.690000,224.570000
935.960000,349.050000,1004.980000,235.120000,874.060000,251.780000,844.380000,221.710000
936.130000,349.230000,1006.510000,236.000000,875.060000,249.760000,846.230000,218.910000
936.350000,349.720000,1007.790000,236.940000,876.020000,247.870000,848.210000,216.260000
936.760000,350.020000,1008.890000,237.960000,877.030000,245.880000,850.090000,213.470000
936.900000,350.230000,1010.120000,238.940000,877.980000,243.910000,852.090000,210.720000
937.040000,350.480000,1011.280000,239.740000,879.040000,241.850000,854.130000,208.200000
937.240000,350.890000,1012.350000,240.630000,880.130000,239.850000,856.100000,205.400000
937.470000,351.100000,1013.310000,241.460000,881.230000,237.830000,858.310000,202.880000
937.860000,351.310000,1014.570000,242.000000,882.410000,235.810000,860.360000,200.190000
938.060000,351.760000,1016.010000,242.830000,883.860000,233.870000,862.620000,197.650000
938.290000,352.000000,1017.060000,243.590000,885.050000,231.850000,864.970000,195.090000
938.710000,352.240000,1018.110000,244.130000,886.210000,229.840000,867.260000,192.510000
