4841,11,,,,,,,,,
Time,rHAT,lHAT,RHip,LHip,RKnee,LKnee,RAnkle,LAnkle,RMTP,LMTP
0.0208,84.51181,80.74671,141.9813,152.2128,38.78053,150.2754,126.3296,104.0638,136.7124,156.6854
0.0209,84.5085,80.74182,141.8929,152.2448,38.76028,150.2286,126.3077,103.9978,136.7138,156.6883
0.021,84.5052,80.73691,141.8044,152.2767,38.74025,150.1817,126.2859,103.9322,136.7151,156.6906
0.0211,84.50193,80.73199,141.7158,152.3086,38.72044,150.1349,126.2641,103.8668,136.7164,156.6924
0.0212,84.49868,80.72706,141.6273,152.3405,38.70084,150.0879,126.2422,103.8017,136.7176,156.6937
0.0213,84.49545,80.72212,141.5387,152.3723,38.68145,150.0409,126.2205,103.7369,136.7189,156.6944
0.0214,84.49223,80.71717,141.4501,152.404,38.66228,149.9939,126.1987,103.6723,136.7201,156.6946
0.0215,84.48904,80.7122,141.3614,152.4357,38.64333,149.9468,126.177,103.6081,136.7213,156.6943
0.0216,84.48587,80.70723,141.2727,152.4674,38.62459,149.8997,126.1553,103.5441,136.7225,156.6934
0.0217,84.48273,80.70224,141.184,152.499,38.60608,149.8526,126.1336,103.4805,136.7236,156.692
0.0218,84.4796,80.69724,141.0953,152.5307,38.58778,149.8054,126.1119,103.4171,136.7248,156.6901
0.0219,84.4765,80.69223,141.0065,152.5622,38.5697,149.7581,126.0903,103.354,136.7259,156.6876
0.022,84.47342,80.68721,140.9177,152.5938,38.55183,149.7109,126.0687,103.2912,136.727,156.6847
0.0221,84.47036,80.68218,140.8289,152.6253,38.53419,149.6636,126.0471,103.2286,136.728,156.6812
0.0222,84.46733,80.67714,140.7401,152.6567,38.51676,149.6163,126.0256,103.1664,136.7291,156.6772
0.0223,84.46432,80.67209,140.6512,152.6882,38.49956,149.5689,126.004,103.1045,136.7301,156.6727
0.0224,84.46133,80.66703,140.5623,152.7196,38.48257,149.5215,125.9826,103.0428,136.7311,156.6677
0.0225,84.45837,80.66196,140.4734,152.751,38.46581,149.4741,125.9611,102.9815,136.7321,156.6622
0.0226,84.45544,80.65688,140.3845,152.7824,38.44927,149.4267,125.9397,102.9204,136.733,156.6562
0.0227,84.45253,80.65179,140.2955,152.8137,38.43294,149.3793,125.9182,102.8596,136.7339,156.6497
0.0228,84.44965,80.64669,140.2066,152.845,38.41684,149.3318,125.8969,102.7991,136.7348,156.6427
0.0229,84.44679,80.64158,140.1176,152.8763,38.40096,149.2844,125.8755,102.7389,136.7357,156.6352
0.023,84.44396,80.63646,140.0286,152.9076,38.38531,149.2369,125.8542,102.679,136.7366,156.6272
0.0231,84.44115,80.63134,139.9395,152.9389,38.36987,149.1894,125.8329,102.6193,136.7374,156.6187
0.0232,84.43838,80.62621,139.8505,152.9701,38.35466,149.1419,125.8116,102.56,136.7383,156.6097
0.0233,84.43563,80.62107,139.7614,153.0014,38.33967,149.0944,125.7904,102.5009,136.7391,156.6003
