485,9,,,,,,,
Time,rHAT,lHAT,RHip,LHip,RKnee,LKnee,RAnkle,LAnkle
0.266,81.27253,82.07134,152.9373,144.5472,147.206,43.73064,94.82212,114.4157
0.267,81.172,82.01809,153.2281,143.6485,146.7568,43.67154,94.26889,114.231
0.268,81.07125,81.96869,153.523,142.7542,146.3034,43.6356,93.72029,114.0486
0.269,80.97073,81.92352,153.8235,141.8654,145.8478,43.62302,93.17678,113.8686
0.27,80.87093,81.88289,154.1315,140.9831,145.3916,43.6339,92.63886,113.6906
0.271,80.77236,81.84709,154.4484,140.1083,144.9369,43.66834,92.10707,113.5146
0.272,80.67554,81.8164,154.776,139.2418,144.4855,43.72633,91.58199,113.3403
0.273,80.58103,81.791,155.1157,138.3847,144.0395,43.80784,91.06427,113.1675
0.274,80.48937,81.77107,155.4692,137.5376,143.6008,43.91278,90.55463,112.996
0.275,80.40113,81.75673,155.8377,136.7014,143.1713,44.041,90.05385,112.8256
0.276,80.31689,81.74807,156.2226,135.8767,142.753,44.19229,89.5628,112.6559
0.277,80.23722,81.74511,156.625,135.0641,142.3477,44.36642,89.08243,112.4868
0.278,80.16267,81.74784,157.046,134.2643,141.9571,44.56309,88.61377,112.318
0.279,80.09381,81.75622,157.4863,133.4777,141.583,44.78197,88.15793,112.1492
0.28,80.03117,81.77015,157.9468,132.7048,141.227,45.02269,87.71609,111.9802
0.281,79.97526,81.7895,158.428,131.9458,140.8906,45.28485,87.28953,111.8108
0.282,79.92657,81.81411,158.9303,131.2012,140.5752,45.56803,86.87956,111.6409
0.283,79.88554,81.84378,159.4539,130.4711,140.2821,45.87176,86.48756,111.4702
0.284,79.8526,81.8783,159.9989,129.7558,140.0124,46.19558,86.11495,111.2987
0.285,79.82812,81.91741,160.5652,129.0553,139.7671,46.539,85.76318,111.1263
0.286,79.81242,81.96086,161.1525,128.3698,139.5471,46.90152,85.43374,110.9528
0.287,79.80578,82.00836,161.7605,127.6994,139.3531,47.28263,85.12813,110.7784
0.288,79.80843,82.05961,162.3885,127.044,139.1856,47.68181,84.84788,110.6031
0.289,79.82055,82.11432,163.0359,126.4037,139.0452,48.09854,84.59453,110.4269
0.29,79.84225,82.17219,163.7018,125.7783,138.9321,48.5323,84.36962,110.2501
0.291,79.8736,82.23289,164.3853,125.1676,138.8464,48.98255,84.17473,110.0726
0.292,79.91459,82.29611,165.0855,124.5717,138.7883,49.44876,84.0114,109.8949
0.293,79.96516,82.36154,165.8011,123.9901,138.7577,49.93038,83.88123,109.717
0.294,80.02521,82.42888,166.531,123.4228,138.7545,50.42688,83.78577,109.5394
0.295,80.09456,82.49781,167.274,122.8693,138.7784,50.93769,83.72662,109.3623
0.296,80.17299,82.56806,168.0288,122.3295,138.8293,51.46228,83.70532,109.1862
0.297,80.26024,82.63934,168.7942,121.8029,138.9066,52.00009,83.72346,109.0113
0.298,80.356,82.71139,169.5689,121.2893,139.0102,52.55058,83.78255,108.838
0.299,80.4599,82.78393,170.3516,120.7881,139.1395,53.1132,83.88413,108.6669
0.3,80.57154,82.85673,171.1411,120.2991,139.294,53.68739,84.02967,108.4983
0.301,80.69048,82.92955,171.9361,119.8216,139.4733,54.27261,84.22063,108.3325
0.302,80.81623,83.00214,172.7353,119.3554,139.6767,54.86832,84.4584,108.17
0.303,80.9483,83.0743,173.5377,118.8999,139.9036,55.47397,84.74432,108.0111
0.304,81.08614,83.14581,174.3419,118.4545,140.1533,56.08903,85.07965,107.8561
0.305,81.22921,83.21648,175.1469,118.019,140.4251,56.71298,85.46558,107.7053
0.306,81.37694,83.28611,175.9515,117.5927,140.7182,57.34531,85.9032,107.559
0.307,81.52878,83.35455,176.7547,117.1753,141.0317,57.98551,86.3935,107.4175
0.308,81.68414,83.42164,177.5556,116.7662,141.3647,58.63311,86.93734,107.2808
0.309,81.84247,83.48724,178.3531,116.3651,141.7162,59.28765,87.53547,107.1491
0.31,82.0032,83.55124,179.1464,115.9715,142.0851,59.94868,88.18844,107.0227
0.311,82.16577,83.61351,179.9346,115.5852,142.4704,60.61579,88.89668,106.9015
0.312,82.32966,83.67396,180.717,115.2057,142.8708,61.28859,89.66041,106.7856
0.313,82.49431,83.73251,181.4926,114.8328,143.285,61.96671,90.47963,106.6751
0.314,82.65922,83.78908,182.2609,114.4662,143.7118,62.64982,91.35413,106.5701
0.315,82.82387,83.84361,183.0211,114.1056,144.1497,63.33762,92.28344,106.4704
