 485   9
    Time           RX            RY        LHipAngles    LKneeAngles   HAT2Angles   LAnkle2Angles     WBCMY        WBCMVy    
  1.08000E-01   1.77615E+02   1.02465E+02   2.07550E+02   1.61928E+02   8.66982E+01   1.34263E+02   1.01674E+00   4.96841E-01
  1.09000E-01   1.72540E+02   9.26948E+01   2.07772E+02   1.61820E+02   8.66893E+01   1.35039E+02   1.01723E+00   4.87565E-01
  1.10000E-01   1.46910E+02   8.21147E+01   2.07970E+02   1.61668E+02   8.66778E+01   1.35750E+02   1.01771E+00   4.78195E-01
  1.11000E-01   0.00000E+00   0.00000E+00   2.08147E+02   1.61470E+02   8.66637E+01   1.36397E+02   1.01819E+00   4.68717E-01
  1.12000E-01   0.00000E+00   0.00000E+00   2.08303E+02   1.61229E+02   8.66472E+01   1.36980E+02   1.01865E+00   4.59119E-01
  1.13000E-01   0.00000E+00   0.00000E+00   2.08437E+02   1.60943E+02   8.66285E+01   1.37501E+02   1.01910E+00   4.49388E-01
  1.14000E-01   0.00000E+00   0.00000E+00   2.08551E+02   1.60614E+02   8.66077E+01   1.37962E+02   1.01955E+00   4.39512E-01
  1.15000E-01   0.00000E+00   0.00000E+00   2.08645E+02   1.60242E+02   8.65850E+01   1.38364E+02   1.01998E+00   4.29484E-01
  1.16000E-01   0.00000E+00   0.00000E+00   2.08719E+02   1.59829E+02   8.65604E+01   1.38711E+02   1.02041E+00   4.19295E-01
  1.17000E-01   0.00000E+00   0.00000E+00   2.08774E+02   1.59374E+02   8.65341E+01   1.39006E+02   1.02082E+00   4.08943E-01
  1.18000E-01   0.00000E+00   0.00000E+00   2.08811E+02   1.58880E+02   8.65062E+01   1.39251E+02   1.02122E+00   3.98424E-01
  1.19000E-01   0.00000E+00   0.00000E+00   2.08830E+02   1.58348E+02   8.64769E+01   1.39449E+02   1.02162E+00   3.87742E-01
  1.20000E-01   0.00000E+00   0.00000E+00   2.08831E+02   1.57778E+02   8.64462E+01   1.39604E+02   1.02200E+00   3.76899E-01
  1.21000E-01   0.00000E+00   0.00000E+00   2.08815E+02   1.57172E+02   8.64142E+01   1.39720E+02   1.02237E+00   3.65903E-01
  1.22000E-01   0.00000E+00   0.00000E+00   2.08783E+02   1.56531E+02   8.63810E+01   1.39799E+02   1.02273E+00   3.54762E-01
  1.23000E-01   0.00000E+00   0.00000E+00   2.08735E+02   1.55858E+02   8.63467E+01   1.39846E+02   1.02308E+00   3.43486E-01
  1.24000E-01   0.00000E+00   0.00000E+00   2.08672E+02   1.55153E+02   8.63114E+01   1.39865E+02   1.02342E+00   3.32088E-01
  1.25000E-01   0.00000E+00   0.00000E+00   2.08594E+02   1.54418E+02   8.62752E+01   1.39858E+02   1.02374E+00   3.20580E-01
  1.26000E-01   0.00000E+00   0.00000E+00   2.08503E+02   1.53655E+02   8.62382E+01   1.39830E+02   1.02406E+00   3.08973E-01
  1.27000E-01   0.00000E+00   0.00000E+00   2.08399E+02   1.52865E+02   8.62003E+01   1.39784E+02   1.02436E+00   2.97282E-01
  1.28000E-01   0.00000E+00   0.00000E+00   2.08282E+02   1.52050E+02   8.61618E+01   1.39724E+02   1.02465E+00   2.85517E-01
  1.29000E-01   0.00000E+00   0.00000E+00   2.08153E+02   1.51212E+02   8.61226E+01   1.39652E+02   1.02493E+00   2.73693E-01
  1.30000E-01   0.00000E+00   0.00000E+00   2.08013E+02   1.50352E+02   8.60829E+01   1.39571E+02   1.02520E+00   2.61822E-01
  1.31000E-01   0.00000E+00   0.00000E+00   2.07862E+02   1.49471E+02   8.60427E+01   1.39485E+02   1.02545E+00   2.49918E-01
  1.32000E-01   0.00000E+00   0.00000E+00   2.07702E+02   1.48572E+02   8.60021E+01   1.39395E+02   1.02569E+00   2.37992E-01
  1.33000E-01   0.00000E+00   0.00000E+00   2.07532E+02   1.47656E+02   8.59611E+01   1.39305E+02   1.02592E+00   2.26060E-01
  1.34000E-01   0.00000E+00   0.00000E+00   2.07354E+02   1.46724E+02   8.59199E+01   1.39214E+02   1.02614E+00   2.14135E-01
  1.35000E-01   0.00000E+00   0.00000E+00   2.07168E+02   1.45778E+02   8.58784E+01   1.39127E+02   1.02635E+00   2.02230E-01
  1.36000E-01   0.00000E+00   0.00000E+00   2.06975E+02   1.44820E+02   8.58368E+01   1.39042E+02   1.02655E+00   1.90359E-01
  1.37000E-01   0.00000E+00   0.00000E+00   2.06775E+02   1.43850E+02   8.57952E+01   1.38962E+02   1.02673E+00   1.78534E-01
  1.38000E-01   0.00000E+00   0.00000E+00   2.06569E+02   1.42869E+02   8.57536E+01   1.38888E+02   1.02690E+00   1.66767E-01
  1.39000E-01   0.00000E+00   0.00000E+00   2.06359E+02   1.41880E+02   8.57120E+01   1.38820E+02   1.02706E+00   1.55068E-01
  1.40000E-01   0.00000E+00   0.00000E+00   2.06143E+02   1.40883E+02   8.56706E+01   1.38758E+02   1.02721E+00   1.43444E-01
  1.41000E-01   0.00000E+00   0.00000E+00   2.05923E+02   1.39880E+02   8.56295E+01   1.38702E+02   1.02735E+00   1.31904E-01
  1.42000E-01   0.00000E+00   0.00000E+00   2.05700E+02   1.38870E+02   8.55886E+01   1.38653E+02   1.02747E+00   1.20451E-01
  1.43000E-01   0.00000E+00   0.00000E+00   2.05474E+02   1.37856E+02   8.55481E+01   1.38609E+02   1.02759E+00   1.09086E-01
  1.44000E-01   0.00000E+00   0.00000E+00   2.05245E+02   1.36839E+02   8.55080E+01   1.38572E+02   1.02769E+00   9.78117E-02
  1.45000E-01   0.00000E+00   0.00000E+00   2.05014E+02   1.35818E+02   8.54685E+01   1.38539E+02   1.02778E+00   8.66246E-02
  1.46000E-01   0.00000E+00   0.00000E+00   2.04781E+02   1.34795E+02   8.54295E+01   1.38511E+02   1.02786E+00   7.55214E-02
  1.47000E-01   0.00000E+00   0.00000E+00   2.04548E+02   1.33771E+02   8.53911E+01   1.38487E+02   1.02793E+00   6.44968E-02
  1.48000E-01   0.00000E+00   0.00000E+00   2.04313E+02   1.32745E+02   8.53535E+01   1.38466E+02   1.02799E+00   5.35440E-02
  1.49000E-01   0.00000E+00   0.00000E+00   2.04078E+02   1.31720E+02   8.53166E+01   1.38447E+02   1.02803E+00   4.26548E-02
  1.50000E-01   0.00000E+00   0.00000E+00   2.03843E+02   1.30694E+02   8.52806E+01   1.38430E+02   1.02807E+00   3.18202E-02
  1.51000E-01   0.00000E+00   0.00000E+00   2.03608E+02   1.29670E+02   8.52455E+01   1.38413E+02   1.02810E+00   2.10302E-02
  1.52000E-01   0.00000E+00   0.00000E+00   2.03374E+02   1.28646E+02   8.52113E+01   1.38395E+02   1.02811E+00   1.02747E-02
  1.53000E-01   0.00000E+00   0.00000E+00   2.03140E+02   1.27624E+02   8.51781E+01   1.38376E+02   1.02812E+00  -4.57212E-04
  1.54000E-01   0.00000E+00   0.00000E+00   2.02906E+02   1.26604E+02   8.51460E+01   1.38355E+02   1.02811E+00  -1.11759E-02
  1.55000E-01   0.00000E+00   0.00000E+00   2.02674E+02   1.25585E+02   8.51149E+01   1.38330E+02   1.02809E+00  -2.18918E-02
  1.56000E-01   0.00000E+00   0.00000E+00   2.02442E+02   1.24569E+02   8.50850E+01   1.38302E+02   1.02807E+00  -3.26145E-02
  1.57000E-01   0.00000E+00   0.00000E+00   2.02212E+02   1.23556E+02   8.50563E+01   1.38270E+02   1.02803E+00  -4.33531E-02
  1.58000E-01   0.00000E+00   0.00000E+00   2.01982E+02   1.22545E+02   8.50288E+01   1.38232E+02   1.02798E+00  -5.41159E-02
  1.59000E-01   0.00000E+00   0.00000E+00   2.01753E+02   1.21537E+02   8.50024E+01   1.38188E+02   1.02792E+00  -6.49100E-02
  1.60000E-01   0.00000E+00   0.00000E+00   2.01525E+02   1.20531E+02   8.49773E+01   1.38138E+02   1.02785E+00  -7.57418E-02
  1.61000E-01   0.00000E+00   0.00000E+00   2.01298E+02   1.19529E+02   8.49534E+01   1.38082E+02   1.02777E+00  -8.66163E-02
  1.62000E-01   0.00000E+00   0.00000E+00   2.01071E+02   1.18530E+02   8.49307E+01   1.38018E+02   1.02767E+00  -9.75376E-02
  1.63000E-01   0.00000E+00   0.00000E+00   2.00845E+02   1.17534E+02   8.49092E+01   1.37946E+02   1.02757E+00  -1.08509E-01
  1.64000E-01   0.00000E+00   0.00000E+00   2.00619E+02   1.16540E+02   8.48888E+01   1.37867E+02   1.02746E+00  -1.19531E-01
  1.65000E-01   0.00000E+00   0.00000E+00   2.00393E+02   1.15550E+02   8.48697E+01   1.37779E+02   1.02733E+00  -1.30605E-01
  1.66000E-01   0.00000E+00   0.00000E+00   2.00166E+02   1.14563E+02   8.48516E+01   1.37684E+02   1.02720E+00  -1.41729E-01
  1.67000E-01   0.00000E+00   0.00000E+00   1.99940E+02   1.13579E+02   8.48345E+01   1.37580E+02   1.02705E+00  -1.52903E-01
  1.68000E-01   0.00000E+00   0.00000E+00   1.99712E+02   1.12598E+02   8.48185E+01   1.37468E+02   1.02689E+00  -1.64122E-01
  1.69000E-01   0.00000E+00   0.00000E+00   1.99484E+02   1.11620E+02   8.48035E+01   1.37348E+02   1.02672E+00  -1.75383E-01
  1.70000E-01   0.00000E+00   0.00000E+00   1.99254E+02   1.10644E+02   8.47893E+01   1.37219E+02   1.02654E+00  -1.86682E-01
  1.71000E-01   0.00000E+00   0.00000E+00   1.99022E+02   1.09672E+02   8.47760E+01   1.37083E+02   1.02635E+00  -1.98013E-01
  1.72000E-01   0.00000E+00   0.00000E+00   1.98788E+02   1.08702E+02   8.47634E+01   1.36939E+02   1.02614E+00  -2.09370E-01
  1.73000E-01   0.00000E+00   0.00000E+00   1.98552E+02   1.07735E+02   8.47515E+01   1.36788E+02   1.02593E+00  -2.20750E-01
  1.74000E-01   0.00000E+00   0.00000E+00   1.98313E+02   1.06771E+02   8.47402E+01   1.36629E+02   1.02570E+00  -2.32146E-01
  1.75000E-01   0.00000E+00   0.00000E+00   1.98071E+02   1.05808E+02   8.47295E+01   1.36463E+02   1.02546E+00  -2.43554E-01
  1.76000E-01   0.00000E+00   0.00000E+00   1.97825E+02   1.04849E+02   8.47192E+01   1.36290E+02   1.02521E+00  -2.54969E-01
  1.77000E-01   0.00000E+00   0.00000E+00   1.97576E+02   1.03891E+02   8.47092E+01   1.36112E+02   1.02495E+00  -2.66386E-01
  1.78000E-01   0.00000E+00   0.00000E+00   1.97322E+02   1.02936E+02   8.46995E+01   1.35927E+02   1.02468E+00  -2.77801E-01
  1.79000E-01   0.00000E+00   0.00000E+00   1.97064E+02   1.01983E+02   8.46901E+01   1.35736E+02   1.02440E+00  -2.89210E-01
  1.80000E-01   0.00000E+00   0.00000E+00   1.96801E+02   1.01032E+02   8.46807E+01   1.35540E+02   1.02410E+00  -3.00612E-01
