485,8,,,,,,
Time,HAT,RHip,LHip,RKnee,LKnee,RAnkle,LAnkle
0.204,84.32054,132.4335,187.6768,161.5622,79.04273,106.266,129.7766
0.205,84.29723,132.6898,187.1986,161.459,78.15138,106.3549,129.5121
0.206,84.27332,132.9428,186.713,161.3376,77.26488,106.4447,129.2461
0.207,84.24885,133.1932,186.2202,161.1993,76.3835,106.5357,128.9785
0.208,84.22386,133.4415,185.7202,161.0453,75.50753,106.6282,128.7095
0.209,84.1984,133.6881,185.213,160.877,74.63729,106.7223,128.4392
0.21,84.17252,133.9338,184.6988,160.6959,73.77308,106.8182,128.1674
0.211,84.14627,134.1792,184.1776,160.5032,72.91521,106.916,127.8945
0.212,84.11971,134.4249,183.6495,160.3005,72.06401,107.016,127.6204
0.213,84.0929,134.6716,183.1145,160.0892,71.2198,107.1182,127.3453
0.214,84.06587,134.92,182.5728,159.8709,70.3829,107.2226,127.0692
0.215,84.0387,135.1708,182.0245,159.6469,69.55366,107.3292,126.7923
0.216,84.01142,135.4247,181.4696,159.4188,68.7324,107.4378,126.5148
0.217,83.98408,135.6823,180.9082,159.1879,67.91944,107.5482,126.2367
0.218,83.95673,135.9443,180.3403,158.9557,67.11512,107.6599,125.9582
0.219,83.9294,136.2114,179.7661,158.7234,66.31975,107.7725,125.6795
0.22,83.90212,136.4842,179.1855,158.4923,65.53365,107.8853,125.4008
0.221,83.87492,136.7632,178.5986,158.2636,64.75715,107.9974,125.1221
0.222,83.8478,137.0491,178.0054,158.0382,63.99053,108.108,124.8438
0.223,83.82079,137.3422,177.406,157.8172,63.23412,108.2157,124.5659
0.224,83.79386,137.6431,176.8004,157.6013,62.4882,108.3193,124.2887
0.225,83.76702,137.9521,176.1884,157.3912,61.75306,108.4172,124.0124
0.226,83.74022,138.2693,175.5702,157.1874,61.02897,108.5078,123.737
0.227,83.71343,138.5952,174.9456,156.9901,60.31621,108.5891,123.4628
0.228,83.68661,138.9296,174.3145,156.7997,59.61502,108.6592,123.1899
0.229,83.65968,139.2727,173.6768,156.616,58.92565,108.716,122.9185
0.23,83.63257,139.6244,173.0325,156.4389,58.24834,108.757,122.6487
0.231,83.60521,139.9845,172.3814,156.268,57.58333,108.7801,122.3807
0.232,83.57749,140.3528,171.7233,156.1028,56.93082,108.7827,122.1145
0.233,83.5493,140.7288,171.058,155.9427,56.29104,108.7624,121.8504
0.234,83.52053,141.1121,170.3854,155.7866,55.66417,108.7168,121.5883
0.235,83.49106,141.5022,169.7052,155.6338,55.05042,108.6436,121.3285
0.236,83.46073,141.8983,169.0172,155.4831,54.44995,108.5406,121.0709
0.237,83.42941,142.2997,168.3212,155.3333,53.86296,108.4061,120.8155
0.238,83.39693,142.7056,167.6168,155.1833,53.2896,108.2386,120.5625
0.239,83.36315,143.1151,166.9038,155.0317,52.73005,108.0372,120.3119
0.24,83.32789,143.5273,166.1819,154.8774,52.18446,107.8015,120.0636
0.241,83.29098,143.9411,165.4509,154.719,51.65301,107.5316,119.8177
0.242,83.25228,144.3555,164.7104,154.5554,51.13587,107.2283,119.5742
0.243,83.21162,144.7695,163.9602,154.3854,50.63322,106.8927,119.333
0.244,83.16885,145.1819,163.2001,154.2078,50.14525,106.5261,119.0941
0.245,83.12384,145.5917,162.4298,154.0217,49.67215,106.1305,118.8575
0.246,83.07647,145.9979,161.6492,153.826,49.21415,105.7077,118.6231
0.247,83.02663,146.3994,160.8582,153.6198,48.77146,105.2601,118.391
0.248,82.97424,146.7954,160.0566,153.4022,48.34435,104.7898,118.1611
0.249,82.91925,147.1848,159.2444,153.1726,47.93309,104.2994,117.9334
0.25,82.86162,147.5669,158.4217,152.9301,47.53796,103.7912,117.7079
0.251,82.80134,147.941,157.5885,152.6743,47.15928,103.2678,117.4846
0.252,82.73847,148.3066,156.745,152.4047,46.7974,102.7315,117.2635
0.253,82.67305,148.6631,155.8916,152.121,46.45268,102.1845,117.0446
0.254,82.60519,149.0103,155.0285,151.8228,46.12551,101.6291,116.828
0.255,82.53503,149.348,154.1562,151.5102,45.81632,101.0672,116.6136
0.256,82.46274,149.6762,153.2752,151.183,45.52554,100.5004,116.4016
0.257,82.38852,149.9951,152.3862,150.8415,45.25364,99.93048,116.1919
0.258,82.31263,150.305,151.4898,150.4859,45.00106,99.35862,115.9845
0.259,82.23533,150.6064,150.5869,150.1165,44.76829,98.786,115.7796
0.26,82.15692,150.8998,149.6782,149.7339,44.5558,98.21359,115.5772
0.261,82.07771,151.1861,148.7646,149.3387,44.36402,97.64222,115.3772
0.262,81.99805,151.4662,147.8471,148.9317,44.19342,97.07257,115.1798
0.263,81.9183,151.7412,146.9267,148.5137,44.04441,96.50523,114.9849
0.264,81.83882,152.0123,146.0043,148.0859,43.91737,95.94074,114.7927
0.265,81.76,152.2808,145.0811,147.6496,43.81268,95.37955,114.6029
0.266,81.68224,152.5482,144.1581,147.206,43.73064,94.82212,114.4157
0.267,81.60595,152.816,143.2364,146.7568,43.67154,94.26889,114.231
0.268,81.53152,153.0858,142.3171,146.3034,43.6356,93.72029,114.0486
0.269,81.45936,153.3594,141.4013,145.8478,43.62302,93.17678,113.8686
0.27,81.38988,153.6385,140.4901,145.3916,43.6339,92.63886,113.6906
0.271,81.32348,153.9248,139.5847,144.9369,43.66834,92.10707,113.5146
0.272,81.26052,154.2201,138.686,144.4855,43.72633,91.58199,113.3403
0.273,81.2014,154.5261,137.7951,144.0395,43.80784,91.06427,113.1675
0.274,81.14645,154.8445,136.913,143.6008,43.91278,90.55463,112.996
0.275,81.09602,155.177,136.0406,143.1713,44.041,90.05385,112.8256
0.276,81.05042,155.5249,135.179,142.753,44.19229,89.5628,112.6559
0.277,81.00995,155.8898,134.329,142.3477,44.36642,89.08243,112.4868
0.278,80.97486,156.273,133.4914,141.9571,44.56309,88.61377,112.318
0.279,80.94541,156.6755,132.6669,141.583,44.78197,88.15793,112.1492
0.28,80.92179,157.0985,131.8564,141.227,45.02269,87.71609,111.9802
0.281,80.90419,157.5427,131.0605,140.8906,45.28485,87.28953,111.8108
0.282,80.89276,158.0089,130.2798,140.5752,45.56803,86.87956,111.6409
0.283,80.88762,158.4977,129.5149,140.2821,45.87176,86.48756,111.4702
0.284,80.88885,159.0094,128.7663,140.0124,46.19558,86.11495,111.2987
0.285,80.8965,159.5443,128.0344,139.7671,46.539,85.76318,111.1263
0.286,80.9106,160.1023,127.3196,139.5471,46.90152,85.43374,110.9528
0.287,80.93115,160.6833,126.6222,139.3531,47.28263,85.12813,110.7784
0.288,80.9581,161.287,125.9425,139.1856,47.68181,84.84788,110.6031
0.289,80.99139,161.9129,125.2808,139.0452,48.09854,84.59453,110.4269
0.29,81.03092,162.5605,124.637,138.9321,48.5323,84.36962,110.2501
0.291,81.07657,163.229,124.0113,138.8464,48.98255,84.17473,110.0726
0.292,81.12818,163.9176,123.4037,138.7883,49.44876,84.0114,109.8949
0.293,81.18556,164.6251,122.8141,138.7577,49.93038,83.88123,109.717
0.294,81.24852,165.3507,122.2424,138.7545,50.42688,83.78577,109.5394
0.295,81.31682,166.093,121.6883,138.7784,50.93769,83.72662,109.3623
0.296,81.39023,166.851,121.1517,138.8293,51.46228,83.70532,109.1862
0.297,81.46846,167.6234,120.6321,138.9066,52.00009,83.72346,109.0113
0.298,81.55125,168.4088,120.1291,139.0102,52.55058,83.78255,108.838
0.299,81.63829,169.206,119.6425,139.1395,53.1132,83.88413,108.6669
0.3,81.72927,170.0136,119.1716,139.294,53.68739,84.02967,108.4983
0.301,81.82385,170.8304,118.7159,139.4733,54.27261,84.22063,108.3325
0.302,81.92171,171.6549,118.275,139.6767,54.86832,84.4584,108.17
0.303,82.02249,172.4859,117.848,139.9036,55.47397,84.74432,108.0111
0.304,82.12582,173.3219,117.4346,140.1533,56.08903,85.07965,107.8561
0.305,82.23136,174.1618,117.0339,140.4251,56.71298,85.46558,107.7053
0.306,82.33874,175.0041,116.6453,140.7182,57.34531,85.9032,107.559
0.307,82.44761,175.8478,116.2683,141.0317,57.98551,86.3935,107.4175
0.308,82.55762,176.6916,115.9022,141.3647,58.63311,86.93734,107.2808
0.309,82.66844,177.5343,115.5463,141.7162,59.28765,87.53547,107.1491
0.31,82.77972,178.3749,115.2,142.0851,59.94868,88.18844,107.0227
0.311,82.89116,179.2123,114.8628,142.4704,60.61579,88.89668,106.9015
0.312,83.00244,180.0454,114.5342,142.8708,61.28859,89.66041,106.7856
0.313,83.11326,180.8734,114.2135,143.285,61.96671,90.47963,106.6751
0.314,83.22334,181.6952,113.9004,143.7118,62.64982,91.35413,106.5701
0.315,83.33239,182.5099,113.5944,144.1497,63.33762,92.28344,106.4704
0.316,83.44015,183.3168,113.295,144.5973,64.02982,93.26681,106.3761
0.317,83.54636,184.1149,113.0019,145.053,64.7262,94.30316,106.2871
0.318,83.65077,184.9036,112.7148,145.5155,65.42652,95.39111,106.2033
0.319,83.75315,185.682,112.4333,145.983,66.13063,96.52888,106.1247
0.32,83.85328,186.4495,112.1572,146.4541,66.83836,97.71431,106.0511
0.321,83.95095,187.2054,111.8863,146.9271,67.5496,98.94483,105.9825
0.322,84.04594,187.949,111.6204,147.4003,68.26427,100.2174,105.9188
0.323,84.13809,188.6799,111.3592,147.8723,68.98232,101.5286,105.8597
0.324,84.22721,189.3974,111.1028,148.3413,69.70373,102.8746,105.8052
0.325,84.31315,190.101,110.8511,148.8058,70.4285,104.2509,105.7551
0.326,84.39574,190.7903,110.604,149.2643,71.1567,105.6528,105.7093
0.327,84.47486,191.4647,110.3616,149.7151,71.88841,107.0752,105.6676
0.328,84.55038,192.124,110.1238,150.1568,72.62372,108.5127,105.6298
0.329,84.6222,192.7678,109.8908,150.5878,73.36278,109.9595,105.5959
0.33,84.6902,193.3956,109.6627,151.0068,74.10577,111.4095,105.5657
0.331,84.75433,194.0073,109.4396,151.4124,74.85287,112.8569,105.539
0.332,84.8145,194.6026,109.2217,151.8031,75.60432,114.2953,105.5157
0.333,84.87067,195.1812,109.0093,152.1776,76.36036,115.7186,105.4957
0.334,84.92282,195.743,108.8025,152.5346,77.12125,117.121,105.4788
0.335,84.97094,196.2878,108.6017,152.8729,77.8873,118.4965,105.465
0.336,85.01502,196.8155,108.4071,153.1912,78.6588,119.8396,105.4541
0.337,85.05511,197.326,108.2192,153.4884,79.43607,121.1452,105.4459
0.338,85.09125,197.8193,108.0382,153.7632,80.21945,122.4085,105.4405
0.339,85.12351,198.2954,107.8645,154.0146,81.00926,123.625,105.4376
0.34,85.15197,198.7541,107.6986,154.2415,81.80586,124.791,105.4372
0.341,85.17674,199.1956,107.5408,154.4428,82.60958,125.9031,105.4392
0.342,85.19793,199.6199,107.3916,154.6176,83.42076,126.9586,105.4435
0.343,85.21568,200.0269,107.2514,154.765,84.23973,127.9551,105.4499
0.344,85.23012,200.4168,107.1206,154.884,85.06679,128.891,105.4583
0.345,85.24142,200.7896,106.9997,154.9738,85.90225,129.765,105.4686
0.346,85.24972,201.1454,106.8891,155.0337,86.74638,130.5767,105.4806
0.347,85.25519,201.4841,106.789,155.0629,87.59944,131.326,105.4942
0.348,85.25801,201.8059,106.7,155.0609,88.46165,132.0133,105.509
0.349,85.25834,202.1108,106.6224,155.0269,89.3332,132.6397,105.525
0.35,85.25635,202.3989,106.5564,154.9607,90.21423,133.2067,105.5418
0.351,85.25222,202.6702,106.5024,154.8616,91.10488,133.7162,105.5592
0.352,85.24611,202.9248,106.4606,154.7295,92.00522,134.1706,105.5769
0.353,85.23819,203.1628,106.4313,154.5641,92.91527,134.5725,105.5946
0.354,85.22862,203.3841,106.4146,154.3653,93.83504,134.9249,105.612
0.355,85.21756,203.589,106.4107,154.1329,94.76446,135.2308,105.6288
0.356,85.20515,203.7776,106.4197,153.8671,95.70344,135.4937,105.6445
