 485   9
    Time           RX            RY        LHipAngles    LKneeAngles   HAT2Angles   LAnkle2Angles     WBCMY        WBCMVy    
  1.15000E-01   0.00000E+00   0.00000E+00   2.08645E+02   1.60242E+02   1.04877E+02  -1.12510E+02   1.04175E+00   3.87038E-01
  1.16000E-01   0.00000E+00   0.00000E+00   2.08719E+02   1.59829E+02   1.04847E+02  -1.09381E+02   1.04213E+00   3.77846E-01
  1.17000E-01   0.00000E+00   0.00000E+00   2.08774E+02   1.59374E+02   1.04817E+02  -1.06109E+02   1.04251E+00   3.68562E-01
  1.18000E-01   0.00000E+00   0.00000E+00   2.08811E+02   1.58880E+02   1.04787E+02  -1.02712E+02   1.04287E+00   3.59182E-01
  1.19000E-01   0.00000E+00   0.00000E+00   2.08830E+02   1.58348E+02   1.04757E+02  -9.92065E+01   1.04322E+00   3.49702E-01
  1.20000E-01   0.00000E+00   0.00000E+00   2.08831E+02   1.57778E+02   1.04728E+02  -9.56067E+01   1.04357E+00   3.40124E-01
  1.21000E-01   0.00000E+00   0.00000E+00   2.08815E+02   1.57172E+02   1.04699E+02  -9.19246E+01   1.04390E+00   3.30446E-01
  1.22000E-01   0.00000E+00   0.00000E+00   2.08783E+02   1.56531E+02   1.04670E+02  -8.81706E+01   1.04423E+00   3.20674E-01
  1.23000E-01   0.00000E+00   0.00000E+00   2.08735E+02   1.55858E+02   1.04642E+02  -8.43534E+01   1.04454E+00   3.10810E-01
  1.24000E-01   0.00000E+00   0.00000E+00   2.08672E+02   1.55153E+02   1.04614E+02  -8.04804E+01   1.04485E+00   3.00859E-01
  1.25000E-01   0.00000E+00   0.00000E+00   2.08594E+02   1.54418E+02   1.04587E+02  -7.65576E+01   1.04515E+00   2.90826E-01
  1.26000E-01   0.00000E+00   0.00000E+00   2.08503E+02   1.53655E+02   1.04561E+02  -7.25898E+01   1.04543E+00   2.80716E-01
  1.27000E-01   0.00000E+00   0.00000E+00   2.08399E+02   1.52865E+02   1.04535E+02  -6.85803E+01   1.04571E+00   2.70533E-01
  1.28000E-01   0.00000E+00   0.00000E+00   2.08282E+02   1.52050E+02   1.04509E+02  -6.45307E+01   1.04597E+00   2.60283E-01
  1.29000E-01   0.00000E+00   0.00000E+00   2.08153E+02   1.51212E+02   1.04484E+02  -6.04413E+01   1.04623E+00   2.49970E-01
  1.30000E-01   0.00000E+00   0.00000E+00   2.08013E+02   1.50352E+02   1.04459E+02  -5.63113E+01   1.04647E+00   2.39599E-01
  1.31000E-01   0.00000E+00   0.00000E+00   2.07862E+02   1.49471E+02   1.04434E+02  -5.21392E+01   1.04670E+00   2.29178E-01
  1.32000E-01   0.00000E+00   0.00000E+00   2.07702E+02   1.48572E+02   1.04409E+02  -4.79230E+01   1.04693E+00   2.18711E-01
  1.33000E-01   0.00000E+00   0.00000E+00   2.07532E+02   1.47656E+02   1.04383E+02  -4.36604E+01   1.04714E+00   2.08208E-01
  1.34000E-01   0.00000E+00   0.00000E+00   2.07354E+02   1.46724E+02   1.04357E+02  -3.93490E+01   1.04734E+00   1.97675E-01
  1.35000E-01   0.00000E+00   0.00000E+00   2.07168E+02   1.45778E+02   1.04330E+02  -3.49867E+01   1.04754E+00   1.87121E-01
  1.36000E-01   0.00000E+00   0.00000E+00   2.06975E+02   1.44820E+02   1.04302E+02  -3.05719E+01   1.04772E+00   1.76555E-01
  1.37000E-01   0.00000E+00   0.00000E+00   2.06775E+02   1.43850E+02   1.04272E+02  -2.61037E+01   1.04789E+00   1.65987E-01
  1.38000E-01   0.00000E+00   0.00000E+00   2.06569E+02   1.42869E+02   1.04242E+02  -2.15823E+01   1.04805E+00   1.55424E-01
  1.39000E-01   0.00000E+00   0.00000E+00   2.06359E+02   1.41880E+02   1.04210E+02  -1.70088E+01   1.04820E+00   1.44877E-01
  1.40000E-01   0.00000E+00   0.00000E+00   2.06143E+02   1.40883E+02   1.04176E+02  -1.23852E+01   1.04834E+00   1.34350E-01
  1.41000E-01   0.00000E+00   0.00000E+00   2.05923E+02   1.39880E+02   1.04141E+02  -7.71432E+00   1.04847E+00   1.23853E-01
  1.42000E-01   0.00000E+00   0.00000E+00   2.05700E+02   1.38870E+02   1.04104E+02  -2.99938E+00   1.04858E+00   1.13388E-01
  1.43000E-01   0.00000E+00   0.00000E+00   2.05474E+02   1.37856E+02   1.04065E+02   1.75584E+00   1.04869E+00   1.02961E-01
  1.44000E-01   0.00000E+00   0.00000E+00   2.05245E+02   1.36839E+02   1.04024E+02   6.54715E+00   1.04879E+00   9.25734E-02
  1.45000E-01   0.00000E+00   0.00000E+00   2.05014E+02   1.35818E+02   1.03982E+02   1.13700E+01   1.04888E+00   8.22261E-02
  1.46000E-01   0.00000E+00   0.00000E+00   2.04781E+02   1.34795E+02   1.03938E+02   1.62191E+01   1.04895E+00   7.19188E-02
  1.47000E-01   0.00000E+00   0.00000E+00   2.04548E+02   1.33771E+02   1.03893E+02   2.10891E+01   1.04902E+00   6.16500E-02
  1.48000E-01   0.00000E+00   0.00000E+00   2.04313E+02   1.32745E+02   1.03847E+02   2.59738E+01   1.04907E+00   5.14168E-02
  1.49000E-01   0.00000E+00   0.00000E+00   2.04078E+02   1.31720E+02   1.03800E+02   3.08666E+01   1.04912E+00   4.12156E-02
  1.50000E-01   0.00000E+00   0.00000E+00   2.03843E+02   1.30694E+02   1.03753E+02   3.57602E+01   1.04916E+00   3.10419E-02
  1.51000E-01   0.00000E+00   0.00000E+00   2.03608E+02   1.29670E+02   1.03706E+02   4.06467E+01   1.04918E+00   2.08907E-02
  1.52000E-01   0.00000E+00   0.00000E+00   2.03374E+02   1.28646E+02   1.03659E+02   4.55172E+01   1.04920E+00   1.07563E-02
  1.53000E-01   0.00000E+00   0.00000E+00   2.03140E+02   1.27624E+02   1.03613E+02   5.03621E+01   1.04920E+00   6.32883E-04
  1.54000E-01   0.00000E+00   0.00000E+00   2.02906E+02   1.26604E+02   1.03569E+02   5.51707E+01   1.04920E+00  -9.48541E-03
  1.55000E-01   0.00000E+00   0.00000E+00   2.02674E+02   1.25585E+02   1.03526E+02   5.99320E+01   1.04918E+00  -1.96044E-02
  1.56000E-01   0.00000E+00   0.00000E+00   2.02442E+02   1.24569E+02   1.03486E+02   6.46343E+01   1.04916E+00  -2.97295E-02
  1.57000E-01   0.00000E+00   0.00000E+00   2.02212E+02   1.23556E+02   1.03449E+02   6.92655E+01   1.04912E+00  -3.98658E-02
  1.58000E-01   0.00000E+00   0.00000E+00   2.01982E+02   1.22545E+02   1.03416E+02   7.38138E+01   1.04908E+00  -5.00181E-02
  1.59000E-01   0.00000E+00   0.00000E+00   2.01753E+02   1.21537E+02   1.03387E+02   7.82668E+01   1.04902E+00  -6.01905E-02
  1.60000E-01   0.00000E+00   0.00000E+00   2.01525E+02   1.20531E+02   1.03363E+02   8.26124E+01   1.04896E+00  -7.03863E-02
  1.61000E-01   0.00000E+00   0.00000E+00   2.01298E+02   1.19529E+02   1.03344E+02   8.68382E+01   1.04888E+00  -8.06087E-02
  1.62000E-01   0.00000E+00   0.00000E+00   2.01071E+02   1.18530E+02   1.03331E+02   9.09317E+01   1.04880E+00  -9.08598E-02
  1.63000E-01   0.00000E+00   0.00000E+00   2.00845E+02   1.17534E+02   1.03324E+02   9.48803E+01   1.04870E+00  -1.01141E-01
  1.64000E-01   0.00000E+00   0.00000E+00   2.00619E+02   1.16540E+02   1.03323E+02   9.86712E+01   1.04859E+00  -1.11454E-01
  1.65000E-01   0.00000E+00   0.00000E+00   2.00393E+02   1.15550E+02   1.03329E+02   1.02292E+02   1.04848E+00  -1.21798E-01
  1.66000E-01   0.00000E+00   0.00000E+00   2.00166E+02   1.14563E+02   1.03341E+02   1.05729E+02   1.04835E+00  -1.32172E-01
  1.67000E-01   0.00000E+00   0.00000E+00   1.99940E+02   1.13579E+02   1.03361E+02   1.08971E+02   1.04821E+00  -1.42576E-01
  1.68000E-01   0.00000E+00   0.00000E+00   1.99712E+02   1.12598E+02   1.03387E+02   1.12004E+02   1.04807E+00  -1.53005E-01
  1.69000E-01   0.00000E+00   0.00000E+00   1.99484E+02   1.11620E+02   1.03420E+02   1.14818E+02   1.04791E+00  -1.63459E-01
  1.70000E-01   0.00000E+00   0.00000E+00   1.99254E+02   1.10644E+02   1.03460E+02   1.17401E+02   1.04774E+00  -1.73932E-01
  1.71000E-01   0.00000E+00   0.00000E+00   1.99022E+02   1.09672E+02   1.03506E+02   1.19743E+02   1.04756E+00  -1.84421E-01
