485,9,,,,,,,
Time,rHAT,lHAT,RHip,LHip,RKnee,LKnee,RAnkle,LAnkle
0.17,85.88018,84.06361,119.8265,199.2297,149.865,111.0562,103.4037,137.2353
0.171,85.84784,84.07406,120.272,198.9748,150.6454,110.0794,103.4546,137.097
0.172,85.81559,84.08602,120.7164,198.718,151.4028,109.1046,103.5116,136.9505
0.173,85.78344,84.09935,121.1595,198.459,152.1368,108.132,103.5743,136.7961
0.174,85.75137,84.1139,121.6008,198.1975,152.8466,107.1614,103.6422,136.6342
0.175,85.71935,84.12954,122.04,197.9331,153.5319,106.1928,103.7147,136.4651
0.176,85.68737,84.14613,122.4767,197.6656,154.192,105.2262,103.7914,136.289
0.177,85.6554,84.16351,122.9105,197.3947,154.8264,104.2616,103.8717,136.1065
0.178,85.62342,84.18156,123.3412,197.12,155.4346,103.299,103.9551,135.9179
0.179,85.5914,84.20012,123.7683,196.8413,156.0163,102.3384,104.0411,135.7234
0.18,85.55932,84.21907,124.1914,196.5583,156.5709,101.3797,104.1291,135.5236
0.181,85.52715,84.23826,124.6104,196.2706,157.0981,100.4229,104.2187,135.3187
0.182,85.49488,84.25757,125.0247,195.978,157.5976,99.46812,104.3094,135.1091
0.183,85.46247,84.27686,125.4342,195.6803,158.0689,98.51523,104.4009,134.8952
0.184,85.4299,84.29601,125.8385,195.377,158.512,97.56428,104.4928,134.6772
0.185,85.39717,84.31491,126.2374,195.0681,158.9266,96.61529,104.5849,134.4555
0.186,85.36425,84.33345,126.6307,194.7532,159.3126,95.66828,104.6768,134.2303
0.187,85.33114,84.35151,127.018,194.4321,159.6698,94.72327,104.7685,134.0019
0.188,85.29781,84.369,127.3992,194.1047,159.9983,93.78029,104.8598,133.7705
0.189,85.26428,84.38583,127.7741,193.7706,160.2981,92.83941,104.9506,133.5364
0.19,85.23052,84.40191,128.1427,193.4298,160.5692,91.90066,105.0408,133.2997
0.191,85.19654,84.41716,128.5047,193.082,160.8119,90.96412,105.1305,133.0606
0.192,85.16235,84.43151,128.8601,192.7271,161.0263,90.02985,105.2195,132.8192
0.193,85.12793,84.44488,129.2089,192.3648,161.2127,89.09794,105.308,132.5757
0.194,85.0933,84.45722,129.551,191.9952,161.3715,88.16851,105.396,132.3302
0.195,85.05846,84.46848,129.8864,191.6181,161.503,87.24165,105.4835,132.0827
0.196,85.02343,84.47861,130.2153,191.2333,161.6078,86.31751,105.5706,131.8334
0.197,84.98823,84.48759,130.5376,190.8407,161.6863,85.39623,105.6574,131.5823
0.198,84.95286,84.49536,130.8536,190.4404,161.7393,84.47797,105.744,131.3294
0.199,84.91734,84.50193,131.1635,190.0322,161.7673,83.5629,105.8305,131.0748
0.2,84.88171,84.50727,131.4674,189.6162,161.7711,82.65122,105.917,130.8184
0.201,84.84597,84.51139,131.7656,189.1922,161.7516,81.74313,106.0037,130.5604
0.202,84.81015,84.51428,132.0584,188.7603,161.7096,80.83886,106.0906,130.3008
0.203,84.77428,84.51595,132.3462,188.3205,161.6461,79.93864,106.178,130.0395
0.204,84.73839,84.51643,132.6293,187.8727,161.5622,79.04273,106.266,129.7766
0.205,84.70251,84.51575,132.9083,187.4171,161.459,78.15138,106.3549,129.5121
0.206,84.66666,84.51393,133.1835,186.9536,161.3376,77.26488,106.4447,129.2461
0.207,84.63088,84.51102,133.4554,186.4823,161.1993,76.3835,106.5357,128.9785
0.208,84.59521,84.50706,133.7247,186.0034,161.0453,75.50753,106.6282,128.7095
0.209,84.55968,84.50211,133.9919,185.5167,160.877,74.63729,106.7223,128.4392
0.21,84.52433,84.49622,134.2576,185.0225,160.6959,73.77308,106.8182,128.1674
0.211,84.4892,84.48946,134.5224,184.5208,160.5032,72.91521,106.916,127.8945
0.212,84.45432,84.48188,134.7871,184.0116,160.3005,72.06401,107.016,127.6204
0.213,84.41973,84.47355,135.0523,183.4952,160.0892,71.2198,107.1182,127.3453
0.214,84.38547,84.46454,135.3187,182.9715,159.8709,70.3829,107.2226,127.0692
0.215,84.35157,84.4549,135.587,182.4407,159.6469,69.55366,107.3292,126.7923
0.216,84.31806,84.4447,135.8579,181.9029,159.4188,68.7324,107.4378,126.5148
0.217,84.28497,84.43399,136.1322,181.3581,159.1879,67.91944,107.5482,126.2367
0.218,84.25233,84.42283,136.4104,180.8064,158.9557,67.11512,107.6599,125.9582
0.219,84.22015,84.41126,136.6932,180.2479,158.7234,66.31975,107.7725,125.6795
0.22,84.18845,84.39933,136.9814,179.6827,158.4923,65.53365,107.8853,125.4008
0.221,84.15723,84.38705,137.2754,179.1107,158.2636,64.75715,107.9974,125.1221
0.222,84.1265,84.37447,137.5758,178.5321,158.0382,63.99053,108.108,124.8438
0.223,84.09625,84.36158,137.883,177.9468,157.8172,63.23412,108.2157,124.5659
0.224,84.06647,84.34839,138.1976,177.3549,157.6013,62.4882,108.3193,124.2887
0.225,84.03714,84.33489,138.5199,176.7563,157.3912,61.75306,108.4172,124.0124
0.226,84.00822,84.32104,138.8502,176.151,157.1874,61.02897,108.5078,123.737
0.227,83.97966,84.30682,139.1885,175.539,156.9901,60.31621,108.5891,123.4628
0.228,83.95142,84.29217,139.5352,174.92,156.7997,59.61502,108.6592,123.1899
0.229,83.92342,84.27703,139.8901,174.2942,156.616,58.92565,108.716,122.9185
0.23,83.8956,84.26131,140.2532,173.6613,156.4389,58.24834,108.757,122.6487
0.231,83.86787,84.24494,140.6243,173.0211,156.268,57.58333,108.7801,122.3807
0.232,83.84014,84.22781,141.0031,172.3736,156.1028,56.93082,108.7827,122.1145
0.233,83.81231,84.2098,141.3893,171.7185,155.9427,56.29104,108.7624,121.8504
0.234,83.78426,84.1908,141.7824,171.0557,155.7866,55.66417,108.7168,121.5883
0.235,83.75586,84.17067,142.1818,170.3848,155.6338,55.05042,108.6436,121.3285
0.236,83.72697,84.14927,142.5868,169.7058,155.4831,54.44995,108.5406,121.0709
0.237,83.69746,84.12646,142.9967,169.0182,155.3333,53.86296,108.4061,120.8155
0.238,83.66715,84.10207,143.4107,168.3219,155.1833,53.2896,108.2386,120.5625
0.239,83.63588,84.07596,143.8279,167.6166,155.0317,52.73005,108.0372,120.3119
0.24,83.60348,84.04798,144.2474,166.902,154.8774,52.18446,107.8015,120.0636
0.241,83.56976,84.01797,144.6681,166.1779,154.719,51.65301,107.5316,119.8177
0.242,83.53453,83.9858,145.089,165.4439,154.5554,51.13587,107.2283,119.5742
0.243,83.4976,83.95134,145.5092,164.6999,154.3854,50.63322,106.8927,119.333
